Indexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer
Parts,0,1,2,3
,,,,
618.0,E4,--,--,--
619.0,D4,--,--,--
620.0,C4,C4,A3,F3
622.0,C5,--,--,--
624.0,--,C4,--,--
626.0,B4,--,--,--
628.0,A4,D4,A3,F3
632.0,G4,E4,B3,E3
636.0,--,Rest,G3,--
638.0,--,--,--,D3
640.0,Rest,E4,G3,C3
642.0,--,--,G3,--
644.0,G4,D4,D3,B2
646.0,--,D4,--,--
648.0,C5,C4,Rest,A2
650.0,--,--,A3,--
651.0,--,D4,--,--
651.5,--,E4,--,--
652.0,C5,F4,A3,--
654.0,--,E4,A3,--
656.0,B4,--,D3,G2
657.0,--,D4,--,--
658.0,--,D4,--,--
660.0,Rest,--,D3,--
662.0,G4,C4,E3,--
663.0,--,B3,--,--
664.0,A4,A3,F3,Rest
666.0,B4,G3,G3,--
668.0,C5,A3,--,--
669.0,--,--,F#3,--
670.0,--,--,F#3,--
672.0,B4,G3,G3,Rest
676.0,--,Rest,--,--
678.0,--,D4,--,--
680.0,G4,E4,Rest,Rest
684.0,A4,F4,--,--
687.0,G4,E4,--,--
688.0,F4,D4,Rest,Rest
689.0,--,C4,--,--
690.0,E4,C4,--,--
692.0,D4,--,--,G2
694.0,--,B3,--,--
696.0,C4,C4,G3,C3
700.0,--,E4,G3,--
704.0,Rest,E4,--,--
706.0,--,--,G3,--
708.0,C4,--,E3,C3
710.0,--,E4,E3,--
712.0,F4,D4,F3,D3
716.0,--,D4,F3,D3
718.0,F4,--,--,--
720.0,F4,C4,A3,F3
724.0,F4,C4,--,F3
728.0,G4,E4,Rest,C3
731.0,--,D4,--,--
732.0,G4,E4,E3,--
733.0,--,D4,--,--
734.0,--,C4,--,--
735.0,--,B3,--,--
736.0,A4,A3,F3,Rest
740.0,--,--,--,D3
742.0,G4,--,G3,--
744.0,F4,Rest,A3,--
748.0,E4,C4,E3,C3
752.0,D4,A3,F3,D3
754.0,F4,--,--,--
756.0,--,B3,--,D3
758.0,E4,--,--,--
759.0,D4,--,--,--
760.0,C4,A3,E3,A2
768.0,Rest,Rest,Rest,C3
772.0,--,--,G3,--
774.0,--,--,--,C3
776.0,Rest,Rest,--,C3
778.0,--,--,G3,C3
780.0,--,--,G3,G2
782.0,--,--,G3,--
784.0,Rest,Rest,D3,G2
788.0,--,--,D3,B2
791.0,--,--,--,G2
792.0,Rest,Rest,F3,D3
795.0,--,--,D3,--
796.0,--,--,A3,--
800.0,Rest,Rest,--,Rest
802.0,--,--,--,D3
804.0,--,--,Rest,--
806.0,--,--,--,C3
808.0,Rest,Rest,Rest,D3
810.0,--,--,A3,--
812.0,--,--,--,B2
814.0,--,--,G3,--
816.0,Rest,Rest,A3,A2
818.0,E4,--,--,--
820.0,--,--,F3,Rest
822.0,D4,--,--,--
824.0,E4,Rest,E3,Rest
828.0,C4,Rest,--,A2
830.0,--,A3,--,--
832.0,B3,--,Rest,E3
834.0,--,G3,--,--
836.0,Rest,A3,E3,A2
838.0,C4,--,--,--
840.0,--,F3,A3,--
842.0,D4,--,--,B2
844.0,E4,E3,G3,C3
846.0,F4,--,--,--
847.0,--,--,--,D3
848.0,G4,Rest,--,E3
850.0,--,E4,--,--
851.0,A4,--,--,--
852.0,B4,--,G3,--
853.0,C5,--,--,--
854.0,B4,E4,--,E3
856.0,--,E4,C4,E3
857.0,A4,--,--,--
858.0,A4,--,--,--
860.0,--,E4,B3,E3
862.0,G#4,--,--,--
864.0,A4,C4,A3,A2
867.0,--,D4,--,--
867.5,--,E4,--,--
868.0,--,F4,--,--
870.0,--,E4,G3,--
872.0,Rest,--,F3,--
873.0,--,D4,--,--
874.0,--,D4,--,--
875.0,--,--,E3,--
875.5,--,--,D3,--
876.0,A4,--,E3,--
878.0,--,C#4,--,--
880.0,A4,D4,D3,D3
884.0,F4,--,Rest,--
888.0,--,--,A3,--
890.0,G4,--,--,--
892.0,A4,--,A3,--
894.0,B4,--,--,--
896.0,C5,Rest,F3,Rest
900.0,C5,--,--,--
902.0,--,--,G3,--
904.0,C5,Rest,A3,Rest
906.0,C5,--,B3,--
908.0,C5,--,C4,--
910.0,C5,--,--,--
912.0,G4,E4,C4,Rest
916.0,Rest,E4,C4,--
918.0,G4,E4,C4,--
920.0,G4,E4,C4,Rest
922.0,G4,E4,C4,--
924.0,B4,D4,G3,--
928.0,A4,Rest,Rest,Rest
930.0,--,D4,--,--
932.0,--,D4,--,--
934.0,--,D4,--,--
936.0,A4,F4,Rest,Rest
940.0,G4,E4,--,--
942.0,G4,--,--,--
944.0,E4,Rest,Rest,Rest
946.0,A4,D4,--,--
948.0,--,D4,--,--
949.0,G4,--,--,--
950.0,F4,D4,--,--
951.0,E4,--,--,--
952.0,D4,B3,Rest,Rest
954.0,E4,C4,C3,--
958.0,D4,B3,D3,--
959.0,C4,A3,--,--
960.0,B3,G3,E3,Rest
962.0,A3,A3,F3,--
964.0,B3,--,E3,--
966.0,--,G#3,--,--
968.0,A3,A3,Rest,A2
972.0,--,--,F3,D3
976.0,Rest,Rest,G3,C3
